#	Based	on	UmePriorNew2.odc-model.	PIT/radio	tagging	study	at	Ume/Vindel	to	find	out	how				
#	well	salmon	find	the	ladder	each	year									
#	If	tag-recapture	study	was	not	"conducted,"	it	is	enough	to	add	predicted	parameters	for	1	"year"""
#	No	tag-recapture	study	in	2015	and	2016									
aU[]	bU[]
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
36.4321214195349	77.3775366072649
14.008196679262	22.9576063094634
3.25020990746988	4.92838173622274
18.3137777392442	25.9380613226587
3.2820635913862	4.95591567899685
11.9139727569379	24.0850917901054
78.8425794269573	84.2048946342606
60.925367133237	83.0468715764412
32.029612490451	75.1206014438566
77.2269155584821	80.8395119414643
3.26749320847403	4.94831836177658
3.31048965638879	5.00346504527627
3.28322472481237	4.95878198517024
27.621118165259	34.4721838741321
3.25849406666848	4.91973151577436
3.27072914012213	4.93287793330483
3.29069658827018	4.96789659033456
86.1417768433217	59.0409117273722
26.376265683102	46.9605957855968
3.27462556730064	4.91477535031708
3.25408760567862	4.90124883524286
2.52442770797437	7.2917395460162
20.4874856366555	42.0261022316421
3.27988409043868	4.94213812716708
3.27984512941279	4.94981649565787
3.28002975525351	4.94824486614166
3.28163944116297	4.94099706060182
28.5750214993454	37.567410847994
10.1795933306816	23.1859392770021
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182
3.28163944116297	4.94099706060182

