0.438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.307	0.013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.178	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.963	0.325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.078	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.839	0.975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.805	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.672	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.648	0.33	1.178	0.02	0	0.02	0.3	0	0	0	0.01	0.06	0.311	0.888	0.117	0.01	0
4.843	1.015	1.873	0	0	0.02	0.35	0.01	0	0	0.005	0.08	0.074	0.749	0.141	0.008	0
3.442	0.176	2.49	0	0	0.01	0.223	0	0	0	0.001	0.04	0.049	0.634	0.065	0.003	0
2.188	0.27	1.385	0	0.04	0.01	0.204	0	0	0	0.005	0.025	0.047	0.411	0.058	0.005	0
3.74	0.122	1.143	0	0.1	0.015	0.436	0.001	0.001	0	0.01	0.05	0.051	0.427	0.014	0.019	0
4.72	0.182	1.714	0.19	0.05	0.015	0.358	0	0.001	0	0.01	0.07	0.061	0.325	0.012	0.039	0
2.115	0.044	0.576	0.08	0.02	0.015	0.106	0	0.002	0	0.01	0.05	0.04	0.19	0.009	0.002	0
4.166	0.079	1.096	0.1	0.04	0.02	0.184	0	0.049	0	0.02	0.06	0.024	0.354	0.001	0.002	0
11.467	0.173	1.715	0.15	0.045	0.03	0.384	0.01	0.005	0	0.05	0.05	0.039	0.448	0.015	0.031	0
5.711	0.068	0.813	0.1	0.05	0.025	0.429	0.01	0.005	0	0.1	0.07	0.045	0.295	0.005	0.006	0
4.102	0.041	0.184	0.075	0.02	0.015	0.264	0.01	0.01	0	0.15	0.08	0.037	0.368	0.003	0	0
5.251	0.075	0.308	0.038	0.02	0	0.13	0.01	0.005	0	0.075	0.03	0.03	0.255	0	0.002	0
15.101	0.096	0.633	0.1	0.03	0.04	0.445	0.02	0.015	0	0.075	0.012	0.072	0.466	0	0	0
10.194	0.036	0.746	0.1	0.1	0.02	0.381	0.01	0.015	0	0.15	0.074	0.15	0.496	0.003	0	0.019
17.953	0.168	0.533	0.02	0.05	0.016	0.463	0.02	0	0	0.15	0.112	0.239	0.256	0.002	0	0
16.962	0.223	0.419	0.016	0.05	0.034	0.513	0.028	0.001	0	0.262	0.125	0.045	0.367	0.012	0.023	0
22.682	0.247	0.3	0.02	0.036	0.013	0.368	0.009	0.003	0	0.3	0.114	0.036	0.186	0.02	0.015	0
13.859	0.063	0.25	0.022	0.031	0.02	0.314	0.005	0	0	0.05	0.097	0.017	0.17	0.021	0.004	0
14.167	0.091	0.135	0.009	0.023	0.002	0.017	0.006	0.001	0	0.001	0.046	0.064	0.088	0.005	0.002	0
16.154	0.144	0.138	0.016	0.034	0.014	0.17	0.014	0.001	0	0.048	0.107	0.024	0.194	0.03	0.006	0
17.305	0.245	0.118	0.011	0.021	0.025	0.21	0.009	0.01	0	0.35	0.288	0.011	0.189	0.032	0.012	0
24.428	0.145	0.24	0.014	0.039	0.002	0.219	0.016	0.006	0	0.068	0.136	0.009	0.133	0.01	0.008	0
14.298	0.101	0.201	0.004	0.044	0.008	0.465	0.014	0.002	0	0.024	0.131	0.002	0.164	0.023	0	0
7.004	0.05	0.607	0.006	0.008	0.006	0.09	0.006	0.005	0	0.011	0.152	0.006	0.107	0.024	0	0
5.809	0.029	0.542	0.001	0.049	0.002	0.152	0.018	0.002	0	0.01	0.048	0.01	0.084	0.032	0.012	0
