M74_alpha[,1]	M74_beta[,1]	M74_alpha[,2]	M74_beta[,2]	M74_alpha[,3]	M74_beta[,3]	M74_alpha[,4]	M74_beta[,4]	M74_alpha[,5]	M74_beta[,5]	M74_alpha[,6]	M74_beta[,6]	M74_alpha[,7]	M74_beta[,7]	M74_alpha[,8]	M74_beta[,8]	M74_alpha[,9]	M74_beta[,9]	M74_alpha[,10]	M74_beta[,10]	M74_alpha[,11]	M74_beta[,11]	M74_alpha[,12]	M74_beta[,12]	M74_alpha[,13]	M74_beta[,13]	M74_alpha[,14]	M74_beta[,14]	M74_alpha[,15]	M74_beta[,15]	M74_alpha[,16]	M74_beta[,16]	M74_alpha[,17]	M74_beta[,17]
1.43815743404253	11.964987338022	2.80743244447314	49.6189437361644	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	10.1409297722968	71.7728809893899	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.41717721571406	11.8027594980365	14.9899171272835	39.1253071589384	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409	1.44477142395751	12.1594792724409
0.946965755625031	11.9897248949902	0.87698530853894	30.0463330461487	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	3.78555720677345	38.8493927512561	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.939919423177907	11.7926655562031	5.29870875283447	12.6023343310658	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007	0.942510449401048	11.8251737744007
1.25381563033467	10.2280124862832	2.33783228634039	26.7396837129182	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	4.80514636877483	23.1155181795972	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27397352690609	10.4138569951681	4.23284313500284	7.01873351306425	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494	1.27835370622417	10.3536181429494
1.27712726110281	9.67593672777208	1.30091008899964	44.3130481508196	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	2.8244284692622	11.0821617289761	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.27619512414082	9.67826946075894	2.54434998521288	6.67765068609151	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485	1.26968734965272	9.68533723751485
5.24408902625499	6.69056965889519	19.1673007328845	25.9004178960468	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	19.5860376915884	13.3926417015559	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	13.7809279778393	14.633356512551	19.8162047361546	25.4676269278185	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222	5.26382660469975	6.74033897044222
5.85191065	3.68665601666667	18.5220301100614	10.7063588911401	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	9.9977101016309	4.01842630889889	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	7.38309515217235	3.42670741323373	9.72218173257039	3.71181264710404	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151	5.96198828538208	3.77187013973151
56.3698548578893	17.5772195982163	17.8729893306287	16.1772856372294	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	71.8052514121846	18.572661000886	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	12.9722506738947	11.7415056109114	11.9508032755018	6.53172576177286	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118	7.22672920460331	4.61066506993118
49.1353770957274	43.3982897512169	35.8349870828978	20.6425339303375	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	25.3963425766225	24.2640848317125	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	14.9065467015941	20.5598979845685	15.4307752260841	18.0488846265609	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615	6.06831440094577	7.88504131518615
5.32467586470305	7.15698345246303	17.8521037275903	16.4524768404157	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	11.5990392011834	10.4523661242603	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	8.07715522877438	22.46029365128	9.32609325789618	14.0945327036713	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196	5.42651478764906	7.24929644255196
3.18670518842554	9.54483771379397	22.9370480877269	19.2965149535673	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	16.4172633478734	44.2301816017883	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	6.97410147059819	23.138599179653	7.10121895613349	29.1479844952881	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632	3.14800608615141	9.38386527591632
