alpha_rel	beta_rel
0.999227556548621	19.3510952112512
0.999227556548621	19.3510952112512
0.99922755654839	19.3510952112448
0.99922755654839	19.3510952112448
0.99922755654839	19.3510952112448
0.99922755654839	19.3510952112448
0.99922755654839	19.3510952112448
0.99922755654839	19.3510952112448
0.999227556548609	19.351095211251
0.99922755654839	19.3510952112448
0.99922755654839	19.3510952112448
0.999227556548621	19.3510952112512
0.99922755654839	19.3510952112448
0.999227556548609	19.351095211251
0.99922755654839	19.3510952112448
0.999227556548555	19.3510952112494
0.999227556548414	19.3510952112457
0.999227556548414	19.3510952112457
0.999227556548621	19.3510952112512
0.999227556548414	19.3510952112457
0.999227556548784	19.3510952112558
0.99922755654839	19.3510952112448
0.999227556548775	19.3510952112558
0.999227556548609	19.351095211251
0.999227556549004	19.3510952112619
0.999227556548419	19.3510952112457
5.70624628990174	14.9013071222386
5.53670656045385	15.2521289082311
4.54444704575114	15.7355083881272
5.77533552544643	15.2810355423805
7.00322383900434	13.6244406377782
6.79082932470462	14.5270956886006
5.6044856249163	15.0937052899041
4.52014114286733	15.7894036750721
4.87060586294723	16.2024619722747
990	10
990	10
990	10
990	10
990	10
990	10
990	10
990	10
990	10

