M74[6]	M74[7]	M74[8]	M74[9]	M74[10]	M74[11]	M74[12]	M74[13]	M74[14]	M74[15]	M74[16]	M74[17]	M74[18]	M74[19]	M74[20]	M74[21]	M74[22]	M74[23]	M74[24]	M74[25]	M74[26]	M74[27]	M74[28]	M74[29]	M74[30]	M74[31]	M74[32]	M74[33]	M74[34]	M74[35]	M74[36]	M74[37]
0.654207	0.657618	0.618484	0.461613	0.232474	0.00653975	0.292665	0.247287	0.305842	0.310622	0.00839469	0.0411696	0.0513679	0.0900509	0.165037	0.225781	0.216535	0.212791	0.0861025	0.000432057	0.00408221	0.0599048	0.0034425	0.0511209	0.20521	0.0710196	0.0208114	0.00130726	0.0306647	0.0549768	0.0239603	0.0239603
0.79587	0.483413	0.296049	0.428201	0.120348	0.0807074	0.287097	0.0833025	0.100213	0.107709	0.036535	0.00156414	0.000380481	0.0978725	0.0302161	0.0470368	0.121723	0.0654697	0.0823663	0.00136785	0.000165117	0.042703	0.0840578	0.00596175	0.5186	0.0519134	0.0187715	0.000959822	0.00290769	0.0625644	0.0609583	0.0609583
0.654827	0.494585	0.472904	0.437438	0.317118	0.0116239	0.381576	0.206705	0.197354	0.321384	0.0184611	0.000125943	0.136628	0.0450266	0.15774	0.010181	0.106214	0.0601564	0.0514949	0.0117517	0.101639	0.035878	0.00970083	0.0480346	0.218518	0.0749183	0.0469768	0.0114723	0.00563961	0.00115694	0.00685202	0.00685202
0.438436	0.779122	0.535627	0.16184	0.363026	0.127056	0.508949	0.128291	0.205647	0.066889	0.023426	0.00832464	0.00112401	0.037038	0.300078	0.0961407	0.135405	0.255973	0.0122341	0.000224796	0.004191	0.00335306	0.000901418	0.0614804	0.171871	0.135851	0.0115782	0.0638349	0.114955	0.103051	0.00429937	0.00429937
0.678999	0.75796	0.343281	0.520291	0.268346	0.0260379	0.105527	0.318532	0.0759496	0.065635	0.00195753	0.00141139	0.00316411	0.0170037	0.0539571	0.115106	0.110708	0.0330357	0.00732941	0.0042264	0.0475411	0.0436474	0.0903489	0.0236901	0.0969506	0.0629109	0.0358788	0.00533557	0.315378	0.184179	0.0533706	0.0533706
0.565708	0.6207	0.416883	0.549458	0.226857	0.0169266	0.259183	0.332162	0.411175	0.372384	0.0214075	0.00125298	0.0459013	0.095968	0.0470865	0.0487082	0.065415	0.205381	0.0864015	0.000155147	0.108872	0.00671037	0.0292424	0.178457	0.144469	0.0385961	0.00719789	0.00226013	0.0523707	0.00470719	0.109274	0.109274
0.64869	0.77517	0.480505	0.633688	0.359155	0.0275667	0.150255	0.388898	0.550111	0.342661	0.0340024	0.0115539	0.00305821	0.134167	0.158413	0.171793	0.0404294	0.122151	0.000249388	0.0649574	0.0330176	0.00372565	0.0148088	0.246246	0.0870747	0.00622849	0.00310909	0.000985423	0.00817554	0.212214	0.007221	0.007221
0.631348	0.74437	0.387548	0.318773	0.181986	0.0162456	0.199929	0.198429	0.127542	0.444819	0.0347613	0.0461521	0.0264668	0.0274043	0.21222	0.0334119	0.0138773	0.164867	0.00320736	0.0189569	0.0211929	0.0331233	0.180426	0.0853087	0.0452316	0.0126444	0.0111053	0.00160406	0.00067383	0.013704	0.00126089	0.00126089
0.467504	0.474625	0.637686	0.303331	0.303846	0.0807229	0.209201	0.271679	0.479424	0.184457	0.0135917	0.00895769	0.00308712	0.113721	0.0533605	0.0347897	0.0689375	0.126251	0.0164456	0.143055	0.00247268	0.0251463	0.0379312	0.0150072	0.329806	0.0165134	0.0356641	0.0236109	0.131953	0.00244233	0.000491306	0.000491306
0.71828	0.710501	0.627983	0.549935	0.353926	0.0879077	0.177979	0.416224	0.317029	0.0825699	0.02783	0.000326726	0.045044	0.124675	0.0210841	0.0223043	0.0616261	0.0168001	0.036892	0.0538134	0.0303673	0.0170307	0.000857418	0.135412	0.142208	0.023937	0.00441497	0.0409352	0.0499284	0.0439874	0.000116109	0.000116109
0.574745	0.639077	0.181972	0.367342	0.472725	0.0444391	0.431264	0.14321	0.41122	0.245117	0.00374481	0.0744066	0.00985061	0.0874666	0.112725	0.189633	0.105481	0.229711	0.0285667	0.00138035	0.000880824	0.0398055	0.00670053	0.265339	0.0518771	0.0729309	0.00578476	0.00243208	0.0981215	0.0478758	0.0198937	0.0198937
0.318834	0.692462	0.479963	0.469651	0.470819	0.0510023	0.260369	0.16972	0.0875264	0.156234	0.011624	0.000424457	0.00149056	0.15128	0.16937	0.276269	0.0760374	0.234712	0.00967295	0.0370216	0.0422146	0.012532	0.0138114	0.136581	0.323234	0.100474	0.000433654	0.0179106	0.111503	0.137019	0.0899158	0.0899158
0.496851	0.767612	0.654181	0.368958	0.399934	0.0694505	0.25928	0.312954	0.143013	0.549217	0.0111	0.0354678	0.0561133	0.0801109	0.135605	0.0421294	0.0324245	0.278059	0.0439611	0.0012359	0.0324123	0.078521	0.0845501	0.247905	0.123348	0.0132948	0.000367248	0.019773	0.000171042	0.0335507	0.0248442	0.0248442
0.565895	0.415244	0.614207	0.387982	0.277385	0.0909659	0.397059	0.23091	0.270691	0.158979	0.0245289	0.00750733	0.000173021	0.0171757	0.0784945	0.0551868	0.173792	0.0973726	0.00163385	0.0322463	0.016914	0.00685732	0.000376497	0.30392	0.16745	0.0113109	0.0447931	0.144566	0.000252559	0.0513007	0.00946691	0.00946691
0.629062	0.475462	0.616935	0.378989	0.227074	0.056893	0.359642	0.28127	0.148704	0.249045	0.00348857	0.00217759	0.143676	0.1024	0.0297673	0.0556149	0.198662	0.24546	0.0866047	0.0133635	0.0150078	0.00239563	0.10164	0.208877	0.0715375	0.0587861	0.0457224	0.00713641	0.0760029	0.137599	0.0024902	0.0024902
0.516733	0.303858	0.536352	0.305231	0.193017	0.043854	0.157863	0.0984743	0.141857	0.190618	0.0319812	0.0200964	0.118245	0.0432082	0.107971	0.203101	0.06015	0.0897493	0.000379036	0.00558582	0.0047865	0.106925	0.00814986	0.141914	0.0425564	0.0637614	0.0114152	0.000648736	0.0242362	0.0212009	0.0264277	0.0264277
0.680129	0.582782	0.35576	0.584165	0.114187	0.0203279	0.289861	0.0381332	0.185176	0.385007	0.0159955	0.0219418	0.107085	0.0247931	0.103206	0.13219	0.0348521	0.0712199	0.0685456	0.0411036	0.00925825	0.03214	0.00247116	0.0351518	0.0416102	0.222392	0.00297319	0.0593378	0.0532529	0.161884	0.0674786	0.0674786
0.684249	0.500561	0.471238	0.208023	0.221105	0.0529475	0.590256	0.304763	0.260965	0.195881	0.00211821	0.00463003	0.026957	0.0183053	0.0820053	0.000996548	0.127096	0.205284	0.00970065	0.000460206	0.00622298	0.00661103	0.0111877	0.123664	0.113625	0.0716488	0.0130875	0.003617	0.030413	0.0053995	0.0256019	0.0256019
0.676365	0.762812	0.454245	0.555574	0.427092	0.000247424	0.233556	0.133175	0.179722	0.383034	0.0235905	0.041825	0.00287363	0.0929689	0.0775433	0.0399409	0.0993615	0.0990035	0.0963612	0.0370868	0.00928288	0.194928	0.00615548	0.0482473	0.130791	0.0667558	0.0116384	0.00356987	0.00421867	0.0042189	0.00403185	0.00403185
0.592865	0.462815	0.514846	0.189832	0.353067	0.0279141	0.517425	0.0990692	0.525887	0.156195	0.00118959	0.000223046	0.000574462	0.172451	0.00864849	0.358332	0.190541	0.120777	0.000552153	0.0328408	0.000167436	0.009102	0.0464698	0.0335949	0.0554621	0.0426788	0.00181145	0.00203859	0.00491618	0.0310377	0.10564	0.10564
0.5213	0.58331	0.207642	0.52659	0.122889	0.04571	0.354146	0.128254	0.170666	0.311668	0.0113085	0.0169226	0.00434	0.123244	0.213824	0.166641	0.0221912	0.291539	0.00380294	0.147665	0.0391051	0.00978452	0.00731301	0.153288	0.10458	0.0407288	0.0605209	0.000316837	0.02707	0.0196065	0.135158	0.135158
0.706586	0.549522	0.369489	0.398821	0.21469	0.00649534	0.261986	0.24887	0.435176	0.220527	0.0818733	0.000182972	0.0445225	0.0572168	0.12053	0.138789	0.110984	0.357893	0.00727676	0.00390025	0.000704851	0.072455	0.000109326	0.0413409	0.164564	0.12239	0.0321378	0.0015236	0.00277508	0.0755747	0.0158638	0.0158638
0.613318	0.6629	0.635353	0.59619	0.197769	0.128607	0.477758	0.153327	0.402841	0.263775	0.0220904	0.00290451	0.0297961	0.0428448	0.0853462	0.00546763	0.106742	0.413196	0.0657624	0.0149432	0.0616723	0.106878	0.0513167	0.0174708	0.150793	0.0757876	0.0170242	0.00308751	0.11884	0.0107761	0.0170967	0.0170967
0.817829	0.214718	0.424743	0.60417	0.239181	0.0541822	0.27275	0.224639	0.0976585	0.457129	0.0442869	0.0389016	0.0684277	0.0714314	0.0643717	0.0609673	0.0634236	0.264903	0.0185107	0.0238022	0.024084	0.097699	0.0940375	0.086884	0.0566958	0.00392059	0.0331491	0.0831769	0.0422352	0.0223658	0.0909035	0.0909035
0.670587	0.705205	0.466664	0.63581	0.232992	0.00739992	0.572329	0.112773	0.200526	0.189407	0.015	0.0245311	0.00927127	0.0621129	0.0776616	0.236354	0.0545795	0.0906757	0.029558	0.00734288	0.20343	0.0237864	8.38E-05	0.0207646	0.122	0.0401813	0.00322637	0.0273737	0.047069	0.0393984	0.0177972	0.0177972
0.346174	0.713402	0.412256	0.5061	0.126784	0.0366734	0.180592	0.11431	0.135468	0.10278	0.068638	0.0660097	0.0133026	0.0404034	0.115046	0.146781	0.164041	0.0463271	0.0598273	0.000787022	0.116653	0.174491	0.0314917	0.0357523	0.0850457	0.151205	0.00932818	0.00687794	0.0273774	0.0796707	0.0683173	0.0683173
0.769322	0.535406	0.432825	0.344195	0.22162	0.0343632	0.370789	0.125408	0.242446	0.15982	0.016894	0.0271174	0.00438664	0.147926	0.15277	0.0866985	0.0544906	0.0232317	0.0939258	0.00209921	0.0763032	0.00850826	0.000339124	0.328272	0.414885	0.120994	0.00233574	0.00464283	0.00387526	0.0805353	0.00165813	0.00165813
0.455102	0.391589	0.618009	0.456525	0.223714	0.0347143	0.245191	0.0951521	0.165225	0.185728	0.0047646	0.0278961	0.0158237	0.0439291	0.0381482	0.069316	0.151599	0.215653	0.185191	0.0596227	0.00416081	0.0475583	0.0917386	0.150761	0.0562382	0.0464821	0.000529636	0.000353468	0.000595351	0.0427895	0.00962212	0.00962212
0.324033	0.630897	0.4662	0.43616	0.384497	0.0266245	0.507404	0.105338	0.12352	0.134513	0.0060963	0.0448595	0.0549386	0.0711659	0.104822	0.100858	0.0430856	0.0412068	0.00420164	0.0024205	0.000131718	0.0638713	0.0242534	0.266513	0.241044	0.0552333	0.0192154	0.00222828	0.109932	0.00469894	0.180307	0.180307
0.544557	0.435302	0.399268	0.542597	0.277455	0.0106729	0.239162	0.239175	0.122944	0.354177	0.0139226	0.0745404	0.0352037	0.0199644	0.195029	0.0911404	0.0307611	0.0664658	0.0508744	0.0214452	0.0017411	0.00338339	0.000119365	0.0546376	0.0927526	0.0942028	0.0234218	0.0031526	0.0372675	0.0327549	9.80E-05	9.80E-05
0.351024	0.526157	0.5589	0.404706	0.351832	0.172606	0.407462	0.298289	0.537349	0.358769	0.0117992	0.0206299	0.0731858	0.136235	0.45403	0.128456	0.078621	0.262374	0.0391467	0.013826	0.0671555	0.0388497	0.000186808	0.166326	0.0890347	0.129775	0.0823038	2.70E-05	0.0429594	0.000140717	0.0418235	0.0418235
0.698581	0.66811	0.541314	0.438952	0.258672	0.0721499	0.301572	0.244735	0.367542	0.350319	0.0208514	0.0110172	0.0271043	0.160905	0.181337	0.0329567	0.0269141	0.259027	0.000112111	0.00120169	0.00162879	0.0143869	0.00580363	0.0325115	0.103205	0.0268486	0.0028739	0.0426354	0.024225	0.129496	0.000634546	0.000634546
0.372709	0.456741	0.338336	0.429047	0.473807	0.0241652	0.232957	0.304984	0.0377928	0.21776	0.00366668	0.00876076	0.0456657	0.0908314	0.0252148	0.203006	0.10465	0.0194549	0.0409436	0.00722905	0.00305558	0.008512	0.0816832	0.141935	0.264726	0.0295332	0.0104527	0.000377563	0.0378107	0.0621106	0.0354148	0.0354148
0.444537	0.348583	0.706665	0.451454	0.204447	0.091931	0.475825	0.263795	0.148469	0.0991368	0.0125869	0.000594315	0.0402166	0.0645687	0.0750715	0.00704862	0.225903	0.307133	0.0223897	7.92E-06	0.0378568	0.0433481	0.029017	0.174107	0.156009	0.0127	0.00550076	0.0106082	0.209072	0.0221231	0.0306524	0.0306524
0.416827	0.639674	0.471753	0.526779	0.465855	0.106881	0.568849	0.225456	0.12241	0.345064	0.0193207	0.0254952	0.0212123	0.193172	0.164116	0.0593067	0.0323258	0.0950087	0.0457765	0.000842502	0.0746542	0.137393	0.0124803	0.0292236	0.235127	0.156614	0.020464	0.00162091	0.0627527	0.032096	0.0207325	0.0207325
0.704367	0.464539	0.507507	0.391412	0.401224	0.0304627	0.319837	0.377396	0.146822	0.312042	0.0838129	0.0757379	0.0494571	0.0295393	0.0473237	0.0511202	0.0676193	0.172934	0.0169233	0.00568119	0.000112183	0.00452661	0.0979243	0.0869531	0.104093	0.0214145	0.00201956	0.00069785	0.0748443	0.0153859	0.00812458	0.00812458
0.319444	0.763443	0.623609	0.252707	0.555684	0.055879	0.44472	0.0854746	0.160395	0.245923	0.021152	0.008697	0.00301186	0.0762368	0.0705942	0.0442661	0.135337	0.191928	0.0226269	0.0113365	0.00817038	0.0239769	0.0109961	0.23167	0.046271	0.0335116	0.0390975	0.0111168	0.0708378	0.155331	0.0921517	0.0921517
0.604003	0.525279	0.742608	0.418418	0.0835092	0.220075	0.083492	0.155692	0.197713	0.258851	0.0033486	0.00715217	0.0218809	0.076862	0.26578	0.0930104	0.0100925	0.00302908	0.0781112	0.00342396	0.00785608	0.039053	0.0052233	0.205912	0.173377	0.0500347	0.0341234	0.00966273	0.00152261	0.00910957	0.0138001	0.0138001
